
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                              Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

pac_agf01i2                         8.366       1.05  4.765E-006  5.696E-005   0.03512    0.4198
3830321438424478                    8.383      1.052    0.01291      0.154   0.02667    0.3181
3832908438424010                    8.382      1.052    0.01287     0.1536   0.02667    0.3182
3833184838424067                    8.382      1.052    0.01287     0.1536   0.02667    0.3182
3833191238424057                    8.382      1.052    0.01287     0.1536   0.02667    0.3182
3792495038472522f                   8.313      1.043   0.007702    0.09265   0.03608    0.4341
3792524438472471                    8.313      1.043   0.007702    0.09265   0.03608    0.4341
3792457438471814                    8.313      1.043   0.007702    0.09265   0.03608    0.4341
3792425838471493fl                  8.313      1.043   0.007702    0.09265   0.03608    0.4341
3833391638424105                    8.382      1.052    0.01287     0.1536   0.02667    0.3182
3823998438434266                    7.897     0.9912    0.04297     0.5442    0.0609    0.7712
3823618738434038                    7.897     0.9912    0.04296     0.5441    0.0609    0.7712
3807465438460215                    8.262      1.037    0.00927     0.1122   0.05991    0.7251
3807286538459331                    8.232      1.033    0.01007     0.1223   0.05997    0.7285
3823230938453658                    8.383      1.052    0.02651     0.3163    0.0263    0.3137
3823234438453649                    8.383      1.052    0.02651     0.3163    0.0263    0.3137
3808995438471126                    7.938     0.9963    0.05958     0.7505   0.04539    0.5719
3809725638471089                    7.938     0.9963    0.05958     0.7505   0.04539    0.5719
3825340538462183                    8.355      1.049     0.0267     0.3196    0.0263    0.3148
3825216638461804                    8.356      1.049    0.02663     0.3188    0.0263    0.3148
3792490538472530                    8.313      1.043   0.007702    0.09265   0.03608    0.4341
3792495038472522                    8.313      1.043   0.007702    0.09265   0.03608    0.4341
3807544038470691f                   7.939     0.9965    0.05956     0.7502   0.04539    0.5717
3807857238470801                    7.939     0.9965    0.05956     0.7502   0.04539    0.5717
3807537838470693                    7.939     0.9965    0.05956     0.7502   0.04539    0.5717
3807544038470691                    7.939     0.9965    0.05956     0.7502   0.04539    0.5717
3829758438458307f                   8.373      1.051    0.02644     0.3158    0.0263    0.3141
3831787538456802                    8.373      1.051    0.02643     0.3157    0.0263    0.3141
3807853138468335                    7.942     0.9969    0.05944     0.7484   0.04539    0.5715
3807845638468351                    7.942     0.9969    0.05944     0.7484   0.04539    0.5715
3818436538435285                      7.9     0.9915    0.04168     0.5276    0.0609    0.7709
3818430038435283                      7.9     0.9915    0.04168     0.5276    0.0609    0.7709
3807064638458392                    8.201      1.029    0.01208     0.1473   0.06002    0.7319
3806657138456413                    8.135      1.021    0.01817     0.2233   0.06014    0.7393
3822496438467357                    8.345      1.047    0.02872     0.3442    0.0263    0.3151
3821749538467433                    8.345      1.047    0.02882     0.3454    0.0263    0.3152
3824651238464964                    8.347      1.048    0.02788      0.334    0.0263    0.3151
3824373838465059                    8.347      1.048    0.02796      0.335    0.0263    0.3151
3824373838465059f                   8.346      1.048    0.02796      0.335    0.0263    0.3151
3824152538465219                    8.346      1.048    0.02804     0.3359    0.0263    0.3151
3823909738465314                    8.346      1.048    0.02811     0.3368    0.0263    0.3151
3823641538465500                    8.346      1.048     0.0282     0.3378    0.0263    0.3151
3823397438465618                    8.346      1.048    0.02825     0.3385    0.0263    0.3151
3822552138467311                    8.345      1.047    0.02871     0.3441    0.0263    0.3151
3822630838468142                    8.345      1.047    0.02883     0.3454    0.0263    0.3151
3823349238433911                    7.897     0.9912    0.04295     0.5439    0.0609    0.7712
3823347738433917                    7.897     0.9912    0.04295     0.5439    0.0609    0.7712
3813437938425591                    8.423      1.057    0.01611     0.1913   0.02658    0.3156
3813564238425600                    8.423      1.057    0.01611     0.1913   0.02658    0.3156
3813368738425586f                   8.423      1.057    0.01611     0.1913   0.02658    0.3156
3813361438425579                    8.423      1.057    0.01611     0.1913   0.02658    0.3156
3808624738471984f                   7.936      0.996    0.05957     0.7506   0.04539     0.572
3808620838472105                    7.935      0.996    0.05957     0.7506   0.04539     0.572
3808989338471906                    7.936     0.9961    0.05957     0.7506   0.04539     0.572
3808624738471984                    7.936      0.996    0.05957     0.7506   0.04539     0.572
3808949638471204                    7.938     0.9963    0.05958     0.7505   0.04539    0.5719
3807845638468351f                   7.942     0.9969    0.05944     0.7484   0.04539    0.5715
3807826338468385                    7.942     0.9969    0.05944     0.7484   0.04539    0.5715
3822561938422934f                   8.393      1.053     0.0136      0.162   0.02667    0.3177
3822524938422940                    8.393      1.053     0.0136      0.162   0.02667    0.3177
3823352238424592f                   8.394      1.053    0.01363     0.1623   0.02667    0.3177
3823542638424463                    8.393      1.053     0.0136      0.162   0.02667    0.3177
3823577938424261                    8.393      1.053     0.0136      0.162   0.02667    0.3177
3822561938422934                    8.393      1.053     0.0136      0.162   0.02667    0.3177
3823543938424456                    8.393      1.053     0.0136      0.162   0.02667    0.3177
3823543938424456f                   8.393      1.053     0.0136      0.162   0.02667    0.3177
3823589238454806f                   8.378      1.052    0.02638     0.3148    0.0263    0.3139
3823601038454802                    8.378      1.052    0.02638     0.3148    0.0263    0.3139
3823713138455197                    8.377      1.051    0.02635     0.3145    0.0263     0.314
3823581238454808                    8.378      1.052    0.02638     0.3148    0.0263    0.3139
3823589238454806                    8.378      1.052    0.02638     0.3148    0.0263    0.3139
3809654338436234f                   7.919     0.9939    0.03494     0.4413    0.0609     0.769
3809641038436229                    7.919     0.9939    0.03494     0.4413    0.0609     0.769
3807910538448917                    8.005      1.005    0.03345     0.4179   0.06065    0.7577
3806825538449055                    8.011      1.006    0.03202     0.3996   0.06061    0.7566
3829701338457121                    8.373      1.051    0.02645     0.3159    0.0263    0.3141
3829924638456724                    8.373      1.051    0.02645     0.3159    0.0263    0.3141
3809476338437584                    7.927      0.995    0.03445     0.4345   0.06087    0.7678
3809665938436236                    7.919     0.9939    0.03494     0.4413    0.0609     0.769
3809654338436234                    7.919     0.9939    0.03494     0.4413    0.0609     0.769
3811641038424163                    8.424      1.057    0.01602     0.1901   0.02659    0.3156
3811808938424078                    8.424      1.057    0.01599     0.1899   0.02659    0.3157
3805723138449467                    8.019      1.006    0.03041     0.3793   0.06057    0.7553
3807260938459244f                   8.229      1.033    0.01022     0.1242   0.05997    0.7288
3807134238459282                    8.229      1.033    0.01022     0.1242   0.05997    0.7288
